name,2021-03-13 Saturday,2021-03-14 Sunday,2021-03-15 Monday,2021-03-16 Tuesday
Amerix,,Tanquid Hunxe DIESEL 10 PPM 1400.0 VARO Energy Marketing AG,,
Amstel,,,,GPS Amsterdam EURO95 nan VARO Energy Marketing AG
Arne,,,Zeeland Refinery DIESEL 10 PPM 1050.0 Total Belgium NV,
Bergse Diep,Zeeland Refinery DIESEL 10 PPM 3006.0 Total Belgium NV,,,Vlissingen DIESEL 10 PPM 3300.0 Total Belgium NV
Chris,,,Esso Botlek DIESEL 10 PPM 2700.0 Vitol SA,
Company,,Total Raffinaderij Antwerpen (TRA) DIESEL/GASOIL 50 PPM UNDYED 1100.0 Total Belgium NV,,
Connemara,DOW Terneuzen TN100 2500.0 VARO Energy Marketing AG,,Enviem Nigtevecht DIESEL B7 2100.0 VARO Energy Marketing AG,
Damiano,Eurotank Terminal Amsterdam (ETA) DIESEL 10 PPM 1100.0 Vitol SA,,,VARO Geertruidenberg DIESEL B7 1500.0 VARO Energy Marketing AG
Diff,Zeeland Refinery DIESEL 10 PPM 1100.0 Kuwait Petroleum Nederland BV,,,Vlissingen DIESEL 10 PPM 1100.0 Total Belgium NV
Eede,,,Shell Pernis GASOIL 0.1 RED DYED nan Shell Trading Rotterdam BV,
Eiltank 39,GPS Amsterdam SUPERPLUS 98 nan VARO Energy Marketing AG,,,
Eiltank 69,,,Stargate Rotterdam DIESEL 10 PPM 2040.0 Gunvor SA,
Endurance,Stargate Rotterdam DIESEL 10 PPM 2250.0 Gunvor SA,,Eurotank Terminal Amsterdam (ETA) DIESEL 10 PPM 2700.0 Vitol SA,
Endurance II,,,Zeeland Refinery DIESEL 10 PPM 3000.0 Kuwait Petroleum Nederland BV,
Fidelity,,,Eurotank Terminal Amsterdam (ETA) DIESEL 10 PPM 2400.0 Vitol SA,
Florida,,,Oiltanking Amsterdam (OTA) EUROBOB tbv E10 2100.0 Totsa Total Oil Trading SA,
Grevelingen,,Zeeland Refinery DIESEL 10 PPM 3100.0 Total Belgium NV,,
Hanneke,Esso Botlek DIESEL 10 PPM 1500.0 POWER TRADE SRO&CO,,Rotterdam DIESEL 10 PPM 1100.0 POWER TRADE SRO&CO,
Hartelstroom,,,Total Raffinaderij Antwerpen (TRA) EUROBOB tbv E10 2100.0 Total Belgium NV,
Julia,,,,GPS Amsterdam GASOLINE ETHANOL MIXTURE nan VARO Energy Marketing AG
Markstroom,Sea Tank Q700B EUROBOB tbv E10 2100.0 LITASCO S.A,,,
Milly,,,,VARO Dortmund 2 DIESEL B7 1100.0 VARO Energy Marketing AG
Nieuwe Maas,,Evos Amsterdam EUROBOB tbv E10 2100.0 BP Oil International LTD,,
Pegasus,,GPS Amsterdam EURO95 nan VARO Energy Marketing AG,,GPS Amsterdam EURO95 nan VARO Energy Marketing AG
Poseidon,,Evos Amsterdam EUROBOB tbv E10 2100.0 BP Oil International LTD,,
Presto,,Zeeland Refinery DIESEL 10 PPM 2200.0 LITASCO S.A,,Vlissingen DIESEL 10 PPM 2500.0 Kuwait Petroleum Nederland BV
Savona,,,Stargate Rotterdam DIESEL 10 PPM 2250.0 Gunvor SA,
Schelde,,,Stargate Rotterdam DIESEL 10 PPM 1500.0 Gunvor SA,GPS Amsterdam SUPERPLUS 98 nan VARO Energy Marketing AG
Servio,,,,Rotterdam DIESEL 10 PPM 2250.0 POWER TRADE SRO&CO
Somtrans 18,,,Eurotank Terminal Amsterdam (ETA) DIESEL 10 PPM 2250.0 Vitol SA,
South Carolina,,,Sea Tank Q700B DIESEL 10 PPM 2650.0 POWER TRADE SRO&CO,
Tripolis,,Eurotank Terminal Amsterdam (ETA) DIESEL/GASOIL 50 PPM UNDYED 2000.0 VARO Energy Marketing AG,,
Wiki,,,Esso Botlek DIESEL 10 PPM 1200.0 POWER TRADE SRO&CO,
